,precision,recall,f1-score,support
high,0.5833333333333334,0.7,0.6363636363636364,10.0
ideal,0.25,0.4,0.3076923076923077,5.0
low,0.5263157894736842,0.5,0.5128205128205128,20.0
medium,0.625,0.5,0.5555555555555556,20.0
accuracy,0.5272727272727272,0.5272727272727272,0.5272727272727272,0.5272727272727272
macro avg,0.4961622807017544,0.525,0.5031080031080031,55.0
weighted avg,0.5474481658692185,0.5272727272727272,0.5321748958112594,55.0
